potencia_x,potencia_y,potencia_z,potencia_total_xyz
0.0001738773878371,2.77902009057134e-06,0.000348810344901737,0.000525466752829409
3.19742426173346e-05,3.45083551284446e-05,0.00010701872681838,0.00017350132456416
1.80700169036957e-05,1.11251667484789e-05,3.96333648000586e-05,6.88285484522332e-05
2.4262010683175e-05,8.57120172070318e-06,1.42153508446598e-05,4.7048563248538e-05
2.11391294837553e-05,1.70938269185902e-05,0.000199750280443871,0.000237983236846217
1.1479161990366e-05,3.12877964843093e-05,0.000130192353605298,0.000172959312079973
1.53593998689469e-05,1.93263245391203e-05,3.81994784288318e-05,7.2885202836899e-05
1.71471435397841e-05,6.38571195202033e-06,2.03461759776287e-05,4.38790314694331e-05
1.54257204591584e-05,1.06972438540402e-05,7.18486506453855e-05,9.7971614958584e-05
6.843259202944e-06,6.14543395390692e-06,1.89409759037783e-05,3.19296690606292e-05
4.97542948959756e-06,4.1622375918567e-06,1.17701474344608e-05,2.09078145159151e-05
2.43145142877836e-06,1.96173921693984e-06,8.53938323827398e-06,1.29325738839922e-05
6.09115456727303e-06,5.36668848699823e-06,2.2249651210645e-05,3.37074942649163e-05
2.18735703855007e-05,1.81281444931955e-05,5.51231097945105e-05,9.51248246732068e-05
6.4704671927831e-05,2.28833842899121e-05,8.17380062831413e-05,0.000169326062500884
0.000158715507233547,6.19710418212461e-05,0.000129518934216264,0.000350205483271056
5.24993079279519e-05,6.19699210473798e-05,0.000126259691507763,0.000240728920483095
4.25257866514576e-05,1.81362882599255e-05,3.64161732102246e-05,9.70782481216077e-05
1.50417191283214e-06,1.53798740824408e-06,8.26605012578318e-06,1.13082094468594e-05
