potencia_x,potencia_y,potencia_z,potencia_total_xyz
0.00014891447447578,0.00015537958725012,0.000675233697152235,0.000979527758878135
1.30124743541205e-06,1.39840694403954e-06,8.90198489084011e-06,1.16016392702917e-05
1.28673825294499e-06,1.3272456262704e-06,9.48998888085093e-06,1.21039727600663e-05
1.28620801139099e-06,1.31775606281034e-06,8.82861712248063e-06,1.1432581196682e-05
1.25686271553935e-06,1.3234706062772e-06,8.9689514629828e-06,1.15492847847994e-05
1.24842775013372e-06,1.32985725570925e-06,9.27007765030379e-06,1.18483626561467e-05
1.267956285094e-06,1.3737606785054e-06,8.51409473684527e-06,1.11558117004447e-05
1.23649353822507e-06,1.29763652070259e-06,8.83705246498865e-06,1.13711825239163e-05
1.25452288447302e-06,1.39325527400129e-06,9.22287841104619e-06,1.18706565695205e-05
1.49355131138248e-06,1.56198344629769e-06,1.05416258577595e-05,1.35971606154397e-05
2.03192504382129e-06,2.75935790834618e-06,2.0983540882713e-05,2.57748238348805e-05
1.59053529302949e-06,1.91211146335548e-06,1.17488371246534e-05,1.52514838810384e-05
1.4690994091164e-06,1.38839404936939e-06,8.76881983635569e-06,1.16263132948415e-05
1.21329248117235e-06,1.35604592686472e-06,9.73510424290586e-06,1.23044426509429e-05
1.17675946511562e-06,1.27339478198867e-06,8.79770313373432e-06,1.12478573808386e-05
1.22697390828139e-06,1.34966883423234e-06,9.55687192344461e-06,1.21335146659583e-05
1.3535963525129e-06,1.37183377766483e-06,8.47139185033482e-06,1.11968219805125e-05
1.21826240646481e-06,1.31321076399666e-06,8.96555138993918e-06,1.14970245604007e-05
1.22645596384676e-06,1.31469370603433e-06,9.1928385227386e-06,1.17339881926197e-05
1.10425518448035e-06,1.21361283290086e-06,6.85366379284146e-06,9.17153181022267e-06
